date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:25:50	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2016%20Apr%202023%2000:55:49%20GMT	https://abhimanyu-kumars-stupendous-site.webflow.io/robots.txt		(from )
06:25:50	17515/17515	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Apr%202023%2000:55:49%20GMT	https://abhimanyu-kumars-stupendous-site.webflow.io/	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/abhimanyu-kumars-stupendous-site.webflow.io/index.html	(from )
06:25:51	75653/75653	---M-Z	200	added ('OK')	text/css	etag:%221c6c0701621cb04645b61cb6f91cdaf5%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/css/abhimanyu-kumars-stupendous-site.webflow.b9a7c4f25.css	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/css/abhimanyu-kumars-stupendous-site.webflow.b9a7c4f25.css	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:51	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:52	479/479	---M--	200	added ('OK')	image/png	etag:%22fa650c143ca245bc798a9521e041ca71%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d12eb7142aa4_fav-32.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d12eb7142aa4_fav-32.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:52	2331/2331	---M--	200	added ('OK')	image/png	etag:%2214dc9b6c1f9a06cac381d79a61025550%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d114bd142aa3_fav-256.png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643af6c505f1d114bd142aa3_fav-256.png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:52	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:53	1380/1380	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-564%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.css	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.css	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:53	43241/43241	---M--	200	added ('OK')	image/png	etag:%224c908acfebd9453d58698880a18555fb%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643b14c761e751d78580af4e_WhatsApp_Image_2023-04-16_at_02.42.58-removebg-preview%20(1).png	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643b14c761e751d78580af4e_WhatsApp_Image_2023-04-16_at_02.42.58-removebg-preview%20(1).png	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
06:25:55	141500/141500	---M--	200	added ('OK')	image/jpeg	etag:%22496cca0ef830d8dfc0bb0cba4dd685b5%22	https://uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643b1717a8f56c3dc86ff1d9_photo-1500835556837-99ac94a94552.jpg	C:/Users/Aayush%20Singh/OneDrive/Desktop/Aayush/GFG/uploads-ssl.webflow.com/643af6c505f1d176c5142a6d/643b1717a8f56c3dc86ff1d9_photo-1500835556837-99ac94a94552.jpg	(from https://abhimanyu-kumars-stupendous-site.webflow.io/)
